date,ticker,price
2024-01-01,AAPL,149.0694678221523
2024-01-02,AAPL,149.74552207102784
2024-01-03,AAPL,149.63368179548144
2024-01-04,AAPL,150.60520081564047
2024-01-05,AAPL,151.3563228790683
2024-01-06,AAPL,149.90431929141474
2024-01-07,AAPL,149.531997537406
2024-01-08,AAPL,150.2230196068979
2024-01-09,AAPL,150.57530289873583
2024-01-10,AAPL,150.3213695283375
2024-01-11,AAPL,150.57013633837914
2024-01-12,AAPL,149.77383486307707
2024-01-13,AAPL,147.76977231665083
2024-01-14,AAPL,148.55401731598178
2024-01-15,AAPL,148.21198766039396
2024-01-16,AAPL,148.30733606288348
2024-01-17,AAPL,149.36199409459473
2024-01-18,AAPL,150.24572237574375
2024-01-19,AAPL,150.62945043306883
2024-01-20,AAPL,150.2255417963785
