date,ticker,price
2024-01-01,AAPL,0.36238036600421
2024-01-02,AAPL,0.5508774294388488
2024-01-03,AAPL,0.5196941870447986
2024-01-04,AAPL,0.7905725709547653
2024-01-05,AAPL,1.0
2024-01-06,AAPL,0.595153180644175
2024-01-07,AAPL,0.4913426396998446
2024-01-08,AAPL,0.6840130224160248
2024-01-09,AAPL,0.7822364506675044
2024-01-10,AAPL,0.7114348919053839
2024-01-11,AAPL,0.7807959132300013
2024-01-12,AAPL,0.5587715861101472
2024-01-13,AAPL,0.0
2024-01-14,AAPL,0.21866274730624014
2024-01-15,AAPL,0.12329823211667446
2024-01-16,AAPL,0.14988321978940888
2024-01-17,AAPL,0.4439423758940819
2024-01-18,AAPL,0.6903429955896243
2024-01-19,AAPL,0.7973338355755644
2024-01-20,AAPL,0.6847162578609769
